Product Name,Review Text,label,review_length,cleaned_review
HP Pavilion 15 Laptop,The performance is acceptable for basic office work but not suited for heavy tasks.,0,14,performance acceptable basic office work suited heavy task
HP Pavilion 15 Laptop,"The keyboard is comfortable to type on, and the trackpad is very responsive.",1,13,keyboard comfortable type trackpad responsive
HP Pavilion 15 Laptop,"The laptop stays cool during extended use, which is a huge plus.",0,12,laptop stay cool extended use huge plus
HP Pavilion 15 Laptop,Boot time is quick thanks to the SSD storage.,0,9,boot time quick thanks ssd storage
HP Pavilion 15 Laptop,Boot time is slower than expected despite having SSD storage.,0,10,boot time slower expected despite ssd storage
HP Pavilion 15 Laptop,There were occasional software crashes during multitasking.,1,7,occasional software crash multitasking
HP Pavilion 15 Laptop,Battery life is average and needs frequent charging during video playback.,0,11,battery life average need frequent charging video playback
HP Pavilion 15 Laptop,The touchpad is usable but not as smooth as expected.,0,10,touchpad usable smooth expected
HP Pavilion 15 Laptop,The system updates take a long time to install and configure.,0,11,system update take long time install configure
HP Pavilion 15 Laptop,The fan noise is minimal even when running heavy software.,1,10,fan noise minimal even running heavy software
HP Pavilion 15 Laptop,The touchpad is usable but not as smooth as expected.,0,10,touchpad usable smooth expected
HP Pavilion 15 Laptop,The speakers are clear and deliver decent sound quality for movies and calls.,0,13,speaker clear deliver decent sound quality movie call
HP Pavilion 15 Laptop,The fan is audible during regular use but not too distracting.,0,11,fan audible regular use distracting
HP Pavilion 15 Laptop,The ports provided are sufficient for most connectivity needs.,0,9,port provided sufficient connectivity need
HP Pavilion 15 Laptop,The build is decent but doesn't feel very premium.,1,9,build decent doesnt feel premium
HP Pavilion 15 Laptop,Battery life is average and needs frequent charging during video playback.,0,11,battery life average need frequent charging video playback
HP Pavilion 15 Laptop,The display brightness is acceptable for indoor use but struggles outdoors.,1,11,display brightness acceptable indoor use struggle outdoors
HP Pavilion 15 Laptop,The laptop is functional but nothing particularly outstanding about the design.,1,11,laptop functional nothing particularly outstanding design
